"album_id","album_name","album_release_date"
"6dlPgHkvVUMkTBsovGFAxH","New Bottega","2023-03-10"
"7AE0HaidGUaRBSmIZmJ8As","Sunshine (My Girl)","2023-09-01"
"3XTTqxcEOZgaTobJlRefvF","Saving Up","2023-10-06"
"05cOaLn9wG0Mlx4unmfUHB","Last Night","2023-10-06"
"6uH0vo25qVqNveP02Pr4Uc","RIZZ","2023-11-15"
"3E3JRB0gGzHuc56GB3hUPJ","Stay High","2023-11-24"
"1Pei7Y5MNZQvfkDWds5EWa","More Baby","2023-09-15"
"42c7JYNk4kOlZhBnZZoPI0","Make Me (Franky Rizardo Remix)","2023-12-15"
"2GbMNQQT9q4Y3ULVdmwbji","Low Rider (Kyle Watson Remix)","2023-12-08"
"4dIIRxQJD8krCBjlEBDX35","Can't Play Myself (A Tribute To Amy)","2023-10-13"
"2eynmd9669ddVP7QTuj66o","Make U Sweat","2023-12-08"
