"track_name","track_popularity","track_url"
"Move","91","https://open.spotify.com/track/1BJJbSX6muJVF2AK7uH1x4"
"It's Not Right But It's Okay","83","https://open.spotify.com/track/5OFVzqSeFxGpvDGyHvVeLj"
"Somebody (2024)","80","https://open.spotify.com/track/0agQ9vIV7NP4dntGKLcCXO"
"Happier (feat. Clementine Douglas)","76","https://open.spotify.com/track/1TcF5F10EN17vraisG1gQv"
"Sunshine (My Girl)","75","https://open.spotify.com/track/2bI6KAUqXeIXGAEEvup8ri"
"PICK UP THE PHONE (feat. Nate Dogg)","75","https://open.spotify.com/track/6o0gJtOgimGamRBTS80H5g"
"Sideways","75","https://open.spotify.com/track/02YMpD1xbZZzpZbuZNvmD7"
"TOO COOL TO BE CARELESS","74","https://open.spotify.com/track/6KqM3xmPIDonsTjCSGrrr5"
"Saving Up","74","https://open.spotify.com/track/787Y2idwCU2Rk60Prv4wpr"
"It's That Time - FISHER Remix","73","https://open.spotify.com/track/3GiORO0zRwRT3g9CCklzkQ"
